Lat,Lng,City Name,Country Code,Temp,Humidity,Clouds,Wind,Date
11.330273894731675,118.72265945820618,bacuit,ph,,,,,
-54.8,-68.3,ushuaia,ar,46.4,49.0,75.0,4.7,1601247631.0
64.89,-23.71,olafsvik,is,44.83,83.0,29.0,9.37,1601247631.0
-22.97,-42.03,arraial do cabo,br,77.0,78.0,0.0,13.87,1601247327.0
1.74,98.78,sibolga,id,76.24,71.0,99.0,2.89,1601247632.0
25.93,81.98,bela,pk,78.19,71.0,0.0,1.88,1601247633.0
-33.7,-53.46,chuy,uy,60.3,88.0,76.0,12.03,1601247633.0
-14.37,23.24,lukulu,zm,73.11,27.0,22.0,2.55,1601247633.0
-23.12,-134.97,rikitea,pf,74.46,80.0,0.0,12.64,1601247634.0
51.26,-80.61,moose factory,ca,60.8,87.0,75.0,9.17,1601247634.0
-9.67,-35.74,maceio,br,77.0,83.0,40.0,5.82,1601247389.0
23.15,-81.25,varadero,cu,84.2,79.0,20.0,9.17,1601247635.0
-53.15,-70.92,punta arenas,cl,50.0,61.0,40.0,32.21,1601247635.0
23.38,-105.38,pueblo nuevo,mx,70.21,85.0,12.0,4.43,1601247635.0
-20.16843453716578,168.162494454671,we,nc,,,,,
46.42,3.91,saint-francois,gp,51.01,100.0,90.0,9.17,1601247636.0
35.13,140.3,katsuura,jp,71.01,77.0,20.0,11.41,1601247636.0
42.6,-73.97,albany,au,75.0,73.0,21.0,4.74,1601247637.0
42.16,-72.33,palmer,us,77.0,65.0,75.0,4.7,1601247637.0
69.45,-133.04,tuktoyaktuk,ca,37.4,93.0,90.0,4.7,1601247637.0
46.68,113.28,baruun-urt,mn,39.07,71.0,99.0,7.99,1601247638.0
52.06,-2.71,hereford,gb,44.01,87.0,54.0,3.09,1601247546.0
-33.93,18.42,cape town,za,48.2,76.0,0.0,2.24,1601247368.0
17.02,54.09,salalah,om,78.8,78.0,75.0,3.36,1601247639.0
-42.78,147.06,new norfolk,au,54.0,70.0,75.0,3.0,1601247639.0
-9.8,-139.03,atuona,pf,78.33,75.0,1.0,13.56,1601247639.0
-32.03,-52.1,rio grande,br,68.0,90.0,100.0,1.01,1601247615.0
29.03,21.55,jalu,ly,86.97,24.0,0.0,8.5,1601247640.0
-34.42,19.23,hermanus,za,44.01,91.0,1.0,5.23,1601247640.0
50.08,132.17,tyrma,ru,52.72,89.0,91.0,1.68,1601247641.0
46.69,47.85,narimanov,ru,53.01,71.0,0.0,13.42,1601247641.0
41.43,27.09,babaeski,tr,65.26,55.0,18.0,3.4,1601247641.0
-46.6,168.33,bluff,nz,37.99,96.0,100.0,1.01,1601247642.0
71.92,114.08,saskylakh,ru,36.18,93.0,100.0,21.7,1601247642.0
14.76,-90.99,tecpan,mx,77.0,65.0,20.0,13.87,1601247643.0
41.32,61.07,hazorasp,uz,50.0,46.0,77.0,9.17,1601247643.0
-28.77,114.6,geraldton,au,50.0,87.0,7.0,10.29,1601247643.0
42.98,144.37,kushiro,jp,55.4,71.0,40.0,11.41,1601247644.0
4.93,-52.33,cayenne,gf,82.4,78.0,1.0,6.93,1601247644.0
-2.02,147.27,lorengau,pg,82.62,79.0,94.0,6.46,1601247645.0
-25.24,130.99,yulara,au,73.4,18.0,38.0,4.7,1601247645.0
-33.65,115.33,busselton,au,55.99,91.0,60.0,9.55,1601247646.0
-12.23,136.77,nhulunbuy,au,82.4,74.0,81.0,11.41,1601247646.0
65.58,-171,lavrentiya,ru,36.73,79.0,58.0,15.99,1601247646.0
51.03,90.23,teeli,ru,31.3,92.0,17.0,0.69,1601247647.0
56.23542978633543,-84.05422556550432,attawapiskat,ca,,,,,
-0.6,73.08,hithadhoo,mv,82.67,68.0,99.0,6.13,1601247647.0
83.45525633586729,49.2307152501036,belushya guba,ru,,,,,
69.22,-51.1,ilulissat,gl,30.2,80.0,6.0,2.24,1601247648.0
29.11,21.29,awjilah,ly,87.28,27.0,0.0,8.77,1601247648.0
65.97,78.37,urengoy,ru,39.34,71.0,86.0,19.44,1601247649.0
11.28,49.18,bosaso,so,85.12,68.0,30.0,5.53,1601247649.0
47.67,-52.73,torbay,ca,64.0,93.0,90.0,21.92,1601247649.0
56.91,118.26,chara,ru,37.81,77.0,66.0,5.82,1601247650.0
22.68,-3.98,taoudenni,ml,96.12,9.0,0.0,9.69,1601247650.0
29.02,66.59,kalat,pk,56.34,33.0,0.0,0.4,1601247651.0
-0.74,-90.35,puerto ayora,ec,69.01,86.0,80.0,11.01,1601247651.0
-17.71,-39.25,caravelas,br,73.24,81.0,0.0,7.92,1601247651.0
14.92,-23.51,praia,cv,80.6,83.0,75.0,4.7,1601247652.0
19.73,-155.09,hilo,us,86.0,51.0,1.0,8.05,1601247652.0
71.69,128.87,tiksi,ru,40.3,90.0,86.0,7.63,1601247652.0
-8.14,159.59,buala,sb,79.54,82.0,100.0,7.16,1601247653.0
50.17,8.57,steinbach,ca,55.0,93.0,75.0,3.36,1601247653.0
-33.59,26.89,port alfred,za,53.92,67.0,37.0,7.94,1601247654.0
-20.74,116.85,karratha,au,69.82,35.0,13.0,11.81,1601247654.0
72.79,-56.15,upernavik,gl,29.12,94.0,100.0,7.16,1601247655.0
6.3,-10.8,monrovia,lr,77.52,87.0,100.0,6.96,1601247655.0
57.79,-152.41,kodiak,us,48.2,81.0,90.0,16.11,1601247379.0
-59.50663322566368,53.882676692080395,taolanaro,mg,,,,,
17.49,44.13,najran,sa,73.4,26.0,10.0,2.08,1601247656.0
48.01,91.64,hovd,mn,37.24,75.0,97.0,1.63,1601247656.0
-45.42,167.72,te anau,nz,37.99,83.0,80.0,5.97,1601247397.0
35.87,47.61,bijar,ir,47.08,82.0,0.0,3.38,1601247656.0
30.33,10.85,nalut,ly,76.77,22.0,90.0,10.96,1601247657.0
71.29,-156.79,barrow,us,32.0,95.0,90.0,12.75,1601247657.0
-4.775567266993349,-162.3051911244912,samusu,ws,,,,,
-25.17,45.05,beloha,mg,67.1,88.0,0.0,5.64,1601247658.0
-37.62,-73.65,lebu,cl,50.41,84.0,6.0,12.95,1601247658.0
50.23,136.9,amursk,ru,50.29,82.0,80.0,13.62,1601247659.0
68.82,-51.19,qasigiannguit,gl,30.2,80.0,32.0,2.24,1601247659.0
-27.8,-64.26,santiago del estero,ar,70.29,25.0,0.0,8.93,1601247659.0
54.19,16.17,koszalin,pl,48.0,99.0,100.0,12.19,1601247660.0
30.17,-111.1,benjamin hill,mx,100.99,43.0,0.0,5.01,1601247660.0
60.14,-45.24,nanortalik,gl,36.79,82.0,19.0,15.1,1601247661.0
61.99,-49.67,paamiut,gl,37.63,78.0,14.0,20.13,1601247661.0
-38,-57.56,mar del plata,ar,54.0,93.0,90.0,9.17,1601247460.0
-21.2,-175.2,vaini,to,78.8,74.0,20.0,5.82,1601247662.0
22.08,-159.32,kapaa,us,86.0,62.0,40.0,11.41,1601247663.0
47.43,-72.78,la tuque,ca,67.41,80.0,100.0,9.01,1601247663.0
72.82249610007645,135.92176130923195,nizhneyansk,ru,,,,,
37.1,-113.58,saint george,bm,90.0,18.0,1.0,3.36,1601247420.0
43.75,-81.72,goderich,sl,75.0,42.0,86.0,4.0,1601247664.0
73.51,80.55,dikson,ru,36.91,79.0,100.0,26.37,1601247664.0
-46.19,168.86,mataura,pf,37.99,96.0,100.0,1.01,1601247665.0
31.75,54.21,taft,ir,75.2,17.0,40.0,4.7,1601247665.0
-33.02,27.91,east london,za,56.66,60.0,75.0,4.63,1601247665.0
-20.34,57.76,bambous virieux,mu,72.0,88.0,40.0,8.05,1601247666.0
59.57,7.99,amot,no,52.0,92.0,42.0,3.33,1601247666.0
71.97,102.5,khatanga,ru,28.96,97.0,96.0,9.66,1601247667.0
-10.07,-78.15,huarmey,pe,63.84,79.0,6.0,8.01,1601247667.0
57.05,-135.33,sitka,us,55.4,76.0,90.0,25.28,1601247667.0
28.68,115.88,nanchang,cn,65.68,88.0,94.0,2.3,1601247668.0
-20.52,57.52,souillac,mu,69.8,88.0,40.0,8.05,1601247668.0
-12.58,13.41,benguela,ao,70.68,79.0,43.0,4.61,1601247668.0
25.52,90.22,tura,ru,72.41,97.0,100.0,3.76,1601247669.0
44.53,125.7,dehui,cn,57.2,82.0,40.0,6.71,1601247669.0
-34.53,20.04,bredasdorp,za,48.2,81.0,0.0,4.7,1601247669.0
-35.33,-72.42,constitucion,mx,52.99,79.0,0.0,12.26,1601247670.0
50.68,36.55,severnyy,ru,62.6,36.0,100.0,15.66,1601247670.0
10.28,22.79,birao,cf,71.69,94.0,99.0,3.69,1601247670.0
38.39338745824668,72.88859069970027,karakendzha,tj,,,,,
70.47,-68.59,clyde river,ca,28.4,86.0,90.0,3.36,1601247671.0
40.56,8.32,alghero,it,57.2,87.0,100.0,9.17,1601247642.0
45.52,-122.68,portland,au,73.99,49.0,20.0,10.29,1601247533.0
37.73,-25.67,ponta delgada,pt,69.8,88.0,40.0,6.93,1601247672.0
5.41,100.34,georgetown,sh,78.8,94.0,20.0,2.24,1601247672.0
3.1,98.49,kabanjahe,id,62.35,82.0,100.0,2.84,1601247673.0
31.21,16.59,surt,ly,79.75,62.0,7.0,9.91,1601247673.0
4.42,-7.35,tabou,ci,76.59,88.0,42.0,6.24,1601247673.0
42.1,-79.24,jamestown,sh,73.99,64.0,40.0,11.41,1601247674.0
-15.2,12.15,namibe,ao,63.21,87.0,82.0,4.05,1601247674.0
-34.48,-54.33,rocha,uy,58.51,90.0,72.0,10.96,1601247674.0
-35.17,173.17,ahipara,nz,59.32,59.0,9.0,14.25,1601247675.0
65.61,-37.64,tasiilaq,gl,35.6,94.0,99.0,8.05,1601247675.0
17.58692585527797,38.987563354223,tawkar,sd,,,,,
-33.04,-71.63,valparaiso,cl,62.6,63.0,0.0,6.93,1601247676.0
-8.93,125.41,airai,pw,66.45,60.0,39.0,4.23,1601247676.0
52.44,61.74,ordzhonikidze,ua,49.23,62.0,26.0,5.48,1601247677.0
50.7,-127.42,port hardy,ca,55.4,82.0,90.0,17.22,1601247677.0
-22.67,167.48,vao,nc,70.86,86.0,78.0,20.6,1601247677.0
44.65,-63.57,halifax,ca,66.99,97.0,52.0,3.0,1601247447.0
51.272154462766906,-85.83627169220468,longlac,ca,,,,,
-8.84,13.23,luanda,ao,73.4,88.0,40.0,5.82,1601247458.0
38.52,-28.7,ribeira grande,pt,69.8,83.0,40.0,5.82,1601247678.0
35.61,-77.37,greenville,us,72.0,83.0,90.0,2.84,1601247540.0
77.93318249635047,-179.40568760952155,mys shmidta,ru,,,,,
-7.91,39.21,mbumi,tz,73.04,94.0,21.0,3.36,1601247679.0
-31.95,141.43,broken hill,au,55.4,54.0,0.0,13.87,1601247679.0
60.72,-46.03,qaqortoq,gl,39.2,55.0,0.0,2.24,1601247680.0
12.06,-61.75,saint-georges,gf,80.6,88.0,75.0,9.17,1601247680.0
38.53,-28.63,horta,pt,69.8,83.0,40.0,5.82,1601247680.0
18.42,-64.62,road town,vg,82.4,74.0,90.0,5.82,1601247615.0
-0.73,119.89,liku,wf,77.32,79.0,97.0,2.17,1601247681.0
-9.79,29.08,kawambwa,zm,66.29,68.0,68.0,4.34,1601247681.0
27.98,-114.06,guerrero negro,mx,80.26,47.0,0.0,12.53,1601247682.0
41.37,-73.41,bethel,us,73.4,78.0,75.0,6.93,1601247682.0
27.04,14.43,sabha,ly,85.8,14.0,0.0,9.24,1601247682.0
36.93160511394335,65.44655005535907,shibarghan,af,,,,,
-21.35,165.15,poya,nc,78.78,67.0,56.0,10.25,1601247683.0
44.58,129.42,hailin,cn,54.79,83.0,57.0,4.29,1601247683.0
13.22,-59.52,bathsheba,bb,82.4,83.0,20.0,9.17,1601247684.0
58.86,60.81,verkhoturye,ru,45.01,91.0,29.0,3.18,1601247684.0
64.57,143.2,ust-nera,ru,45.09,59.0,99.0,5.26,1601247685.0
3.07,172.79,butaritari,ki,82.8,77.0,98.0,15.7,1601247685.0
32.21047064799612,161.8025690643936,sentyabrskiy,ru,,,,,
19.38,74.65,rahuri,in,71.64,87.0,100.0,4.41,1601247686.0
-20.21,57.76,quatre cocos,mu,72.0,88.0,40.0,8.05,1601247686.0
-2.92,-39.92,itarema,br,77.68,79.0,12.0,14.81,1601247686.0
42.25,-75.83,broome,au,72.0,68.0,20.0,9.17,1601247687.0
39.18,-84.53,hamilton,bm,77.0,57.0,20.0,8.05,1601247687.0
-14.66,17.69,menongue,ao,67.39,31.0,83.0,2.77,1601247688.0
51.59,-3,newport,us,48.0,85.0,59.0,3.78,1601247576.0
8.41,20.65,ndele,cf,69.87,90.0,88.0,1.25,1601247688.0
30.48,-115.95,san quintin,mx,73.49,65.0,0.0,7.76,1601247688.0
6.88,73.1,dhidhdhoo,mv,81.46,77.0,0.0,6.8,1601247524.0
-27.18,151.27,dalby,au,62.6,51.0,0.0,17.22,1601247689.0
-34,24.73,kruisfontein,za,45.0,82.0,2.0,6.46,1601247689.0
59.38,143.3,okhotsk,ru,50.2,82.0,98.0,12.75,1601247690.0
41.17,-74.05,rockland,us,75.99,84.0,62.0,5.14,1601247690.0
62.46,-114.35,yellowknife,ca,46.4,87.0,75.0,11.41,1601247605.0
-8.19,15.38,camabatela,ao,62.73,90.0,73.0,4.79,1601247691.0
-5.25,39.77,chake chake,tz,74.89,90.0,1.0,5.12,1601247691.0
54.63,43.21,temnikov,ru,48.2,57.0,22.0,7.27,1601247691.0
32.67,-17.1,ponta do sol,cv,71.6,68.0,40.0,11.41,1601247692.0
67.68,53.15,iskateley,ru,36.36,84.0,50.0,5.17,1601247692.0
43.21,-75.46,roma,au,78.8,54.0,1.0,9.17,1601247495.0
32.35,-85.2,russell,nz,78.8,69.0,40.0,11.41,1601247605.0
7.53,-12.51,bonthe,sl,77.54,89.0,100.0,5.79,1601247693.0
47.1,-56.38,miquelon,pm,59.32,92.0,83.0,17.45,1601247693.0
29.07,31.1,beni suef,eg,79.43,45.0,0.0,13.58,1601247694.0
-24.79,-50.01,castro,cl,66.2,85.0,98.0,10.92,1601247648.0
-24.85,152.35,bundaberg,au,68.0,52.0,0.0,10.29,1601247694.0
66.32,-179.17,egvekinot,ru,31.53,85.0,0.0,1.86,1601247695.0
51.47,140.78,de-kastri,ru,54.34,74.0,0.0,5.79,1601247695.0
54.11,102.16,sayansk,ru,38.17,95.0,94.0,5.75,1601247696.0
34.06,-117.18,redlands,us,93.99,26.0,40.0,6.93,1601247696.0
68.75,161.3,cherskiy,ru,40.41,68.0,100.0,19.04,1601247696.0
40.43,71.72,komsomolskiy,ru,55.4,35.0,48.0,4.7,1601247697.0
11.28,-15.83,bubaque,gw,81.27,77.0,91.0,8.57,1601247697.0
-16.48,-151.75,faanui,pf,78.44,79.0,2.0,12.91,1601247697.0
51.16,82.19,zmeinogorsk,ru,34.88,94.0,16.0,6.08,1601247698.0
78.22,15.64,longyearbyen,sj,33.8,90.0,75.0,18.34,1601247698.0
70.63,147.92,chokurdakh,ru,41.4,92.0,98.0,4.59,1601247699.0
-5.2,-35.46,touros,br,77.0,88.0,20.0,8.05,1601247699.0
15.85,-97.07,puerto escondido,mx,84.2,70.0,90.0,6.93,1601247699.0
77.48,-69.36,qaanaaq,gl,13.06,76.0,5.0,6.53,1601247700.0
-42.88,147.33,hobart,au,54.0,57.0,75.0,10.29,1601247679.0
29.85,80.53,dharchula,in,60.42,49.0,0.0,3.71,1601247700.0
50.68,156.12,severo-kurilsk,ru,46.56,88.0,100.0,35.54,1601247701.0
71.04,27.85,mehamn,no,39.81,73.0,84.0,12.33,1601247701.0
-28.57,-70.76,vallenar,cl,61.95,42.0,0.0,2.21,1601247701.0
25.7,100.18,dali,cn,62.53,87.0,83.0,2.95,1601247702.0
39.92,44.05,igdir,tr,71.6,35.0,3.0,11.41,1601247702.0
34.17,77.58,leh,in,40.55,58.0,0.0,3.69,1601247703.0
11,122.67,dingle,ie,79.77,84.0,38.0,2.15,1601247703.0
42.54,129,helong,cn,57.4,70.0,31.0,4.85,1601247704.0
5.11,7.37,aba,hu,75.2,94.0,40.0,2.98,1601247704.0
64.25,-15.21,hofn,is,49.01,91.0,100.0,12.91,1601247704.0
18.39,42.45,faya,td,68.0,20.0,0.0,4.65,1601247705.0
54.63,-8.45,killybegs,ie,57.0,95.0,100.0,5.99,1601247705.0
-0.41,-65.02,santa isabel do rio negro,br,80.96,71.0,57.0,1.45,1601247705.0
69.7,170.31,pevek,ru,34.97,84.0,100.0,25.01,1601247706.0
46.62,10.7,lasa,cn,42.01,6.0,5.0,3.36,1601247706.0
73.24004760640298,57.50838858732806,amderma,ru,,,,,
17.78,-94.63,hidalgotitlan,mx,91.4,59.0,75.0,2.59,1601247707.0
-6.09,-35.21,nisia floresta,br,78.8,78.0,40.0,10.29,1601247707.0
-33.92,25.57,port elizabeth,za,50.0,81.0,40.0,3.36,1601247708.0
-41.87,-73.82,ancud,cl,51.01,88.0,100.0,1.01,1601247708.0
14.05,124.17,pandan,ph,82.26,79.0,38.0,3.13,1601247708.0
